DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723116152,261,84.9,0.024,86.4,445.878,64
1723116154,1567,83.3,0.047,169.2,104.089,64
1723116155,2978,83.8,0.070,252,2067.89,64
1723116157,4414,99.3,0.125,450,3191.56,64
1723116158,5890,100.7,0.153,550.8,3190.06,64
1723116160,7356,101.4,0.209,752.4,3188.57,64
1723116161,8827,100.3,0.237,853.2,3241.24,64
1723116162,10283,100.3,0.292,1051.2,3184.59,64
1723116164,11718,101.0,0.320,1152,3209.43,64
1723116165,13204,101.9,0.348,1252.8,3191.56,64
1723116167,14675,100.7,0.404,1454.4,3217.88,64
1723116168,16144,100.3,0.432,1555.2,3189.57,64
1723116170,17610,101.0,0.488,1756.8,3193.54,64
1723116171,19069,101.9,0.516,1857.6,3201.99,64
1723116173,20525,100.2,0.572,2059.2,3192.06,64
1723116174,21974,100.4,0.600,2160,3185.07,64
1723116176,23454,101.0,0.656,2361.6,3193.05,64
1723116177,24853,102.1,0.684,2462.4,3240.27,64
1723116178,26320,100.9,0.740,2664,3192.06,64
1723116180,27804,100.4,0.768,2764.8,3188.56,64
1723116181,29273,100.5,0.824,2966.4,3202.96,64
1723116183,30729,102.5,0.852,3067.2,3245.2,64
1723116184,32187,100.5,0.908,3268.8,3189.56,64
1723116186,33665,100.3,0.936,3369.6,3191.56,64
1723116187,35177,100.6,0.964,3470.4,3189.06,64
1723116189,36637,102.4,1.020,3672,3204.47,64
1723116190,38086,100.6,1.048,3772.8,3194.53,64
1723116192,39547,100.3,1.104,3974.4,3190.57,64
1723116193,41035,100.6,1.132,4075.2,3217.9,64
1723116195,42490,102.0,1.188,4276.8,3191.55,64
1723116196,43963,100.6,1.216,4377.6,3188.56,64
1723116198,45420,100.2,1.272,4579.2,3188.06,64
1723116199,46866,100.7,1.300,4680,3242.72,64
1723116201,48337,101.8,1.357,4885.2,3190.57,64
1723116202,49768,100.8,1.385,4986,3185.58,64
1723116203,51265,100.7,1.441,5187.6,3192.06,64
1723116205,52714,101.0,1.468,5284.8,3230.8,64
1723116206,54145,101.5,1.497,5389.2,3192.06,64
1723116208,55598,100.6,1.553,5590.8,3189.57,64
1723116209,57051,100.7,1.581,5691.6,3192.06,64
1723116211,58543,100.6,1.637,5893.2,3189.07,64
1723116212,60007,101.7,1.665,5994,3191.06,64
1723116214,61478,100.4,1.722,6199.2,3187.08,64
1723116215,62965,100.8,1.749,6296.4,3239.76,64
1723116217,64372,100.4,1.805,6498,3187.08,64
1723116218,65862,101.5,1.834,6602.4,3191.56,64
1723116219,67302,102.3,1.890,6804,3192.55,64
1723116221,68788,101.1,1.918,6904.8,3243.24,64
1723116222,70272,100.9,1.974,7106.4,3193.05,64
1723116224,71737,101.4,2.002,7207.2,3192.06,64
1723116225,73197,102.4,2.059,7412.4,3192.05,64
1723116227,74665,101.0,2.086,7509.6,3219.87,64
1723116228,76131,100.8,2.115,7614,3187.09,64
1723116230,77616,101.4,2.171,7815.6,3186.08,64
1723116231,79079,102.4,2.199,7916.4,3209.43,64
1723116233,80555,100.5,2.255,8118,3189.06,64
1723116234,82009,100.7,2.283,8218.8,3193.05,64
1723116236,83446,101.3,2.339,8420.4,3195.53,64
1723116237,84866,102.4,2.368,8524.8,3243.3,64
1723116239,86357,101.3,2.423,8722.8,3190.56,64
1723116240,87824,100.8,2.452,8827.2,3194.54,64
1723116241,89286,100.9,2.508,9028.8,3186.1,64
1723116243,90723,102.9,2.536,9129.6,3244.23,64
1723116244,92206,100.9,2.592,9331.2,3191.07,64
1723116246,93639,100.8,2.620,9432,3196.52,64
1723116247,95101,100.8,2.648,9532.8,3175.54,64
1723116249,96532,102.6,2.705,9738,3205.96,64
1723116250,97979,100.8,2.733,9838.8,3191.55,64
1723116252,99433,100.5,2.789,10040.4,3192.06,64
1723116253,100861,100.8,2.817,10141.2,3206.46,64
1723116254,102262,102.1,2.874,10346.4,3192.06,64
1723116256,103723,100.9,2.902,10447.2,3194.04,64
1723116257,105185,101.0,2.958,10648.8,3187.58,64
1723116259,106656,100.8,2.986,10749.6,3240.2,64
1723116260,108104,102.2,3.014,10850.4,3177.56,64
1723116262,109551,100.6,3.070,11052,3191.06,64
1723116263,111012,100.9,3.098,11152.8,3189.57,64
1723116265,112480,101.2,3.154,11354.4,3245.25,64
1723116266,113891,101.8,3.183,11458.8,3191.05,64
1723116268,115355,102.6,3.239,11660.4,3190.56,64
1723116269,116782,101.0,3.267,11761.2,3190.57,64
1723116270,118245,101.1,3.323,11962.8,3235.76,64
1723116272,119707,101.8,3.352,12067.2,3204.94,64
1723116273,121169,102.6,3.380,12168,3184.58,64
1723116275,122629,100.9,3.436,12369.6,3189.08,64
1723116276,124108,101.5,3.464,12470.4,3200.5,64
1723116278,125584,101.7,3.521,12675.6,3189.08,64
1723116279,127063,102.7,3.549,12776.4,3188.08,64
1723116281,128524,101.0,3.605,12978,3245.04,64
1723116282,129999,101.3,3.633,13078.8,3189.57,64
