DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723113324,262,84.9,0.000,0,409.908,64
1723113325,1576,84.2,0.023,82.8,103.146,64
1723113326,2875,85.1,0.071,255.6,123.992,64
1723113328,4190,84.2,0.094,338.4,110.259,64
1723113329,5506,83.8,0.117,421.2,104.3,64
1723113330,6804,83.8,0.141,507.6,103.21,64
1723113332,8118,85.4,0.187,673.2,168.054,64
1723113333,9429,85.1,0.211,759.6,109.063,64
1723113334,10795,83.5,0.234,842.4,164.255,64
1723113336,12530,109.5,0.288,1036.8,6145.94,64
1723113338,14381,117.5,0.353,1270.8,6327.83,64
1723113340,16012,117.1,0.417,1501.2,6300.54,64
1723113341,17880,116.1,0.449,1616.4,6298.57,64
1723113343,19791,116.6,0.514,1850.4,6331.35,64
1723113345,21859,117.7,0.580,2088,6378.75,64
1723113347,23635,117.2,0.645,2322,6400,64
1723113349,25770,117.1,0.710,2556,6400,64
1723113351,27830,118.2,0.776,2793.6,6400,64
1723113354,29938,117.4,0.842,3031.2,6400,64
1723113356,31969,117.4,0.907,3265.2,6398.09,64
1723113358,34089,118.4,1.005,3618,6400,64
1723113360,36139,117.6,1.071,3855.6,6400,64
1723113362,38071,117.4,1.136,4089.6,6312.93,64
1723113364,40069,118.3,1.202,4327.2,6341.64,64
1723113366,42149,117.7,1.267,4561.2,6400,64
1723113368,44270,117.8,1.333,4798.8,6400,64
1723113370,46561,118.7,1.399,5036.4,6400,64
1723113372,48561,117.8,1.464,5270.4,6400,64
1723113374,50609,119.6,1.530,5508,6400,64
1723113376,52690,117.6,1.596,5745.6,6384.69,64
1723113378,54789,117.9,1.662,5983.2,6400,64
1723113380,56759,119.8,1.727,6217.2,6365.87,64
1723113383,58871,117.5,1.793,6454.8,6300.5,64
1723113385,60959,117.8,1.858,6688.8,6400,64
1723113387,63009,119.7,1.925,6930,6400,64
1723113389,65070,117.5,2.023,7282.8,6300.49,64
1723113391,67149,117.6,2.088,7516.8,6300.51,64
1723113393,69148,119.3,2.154,7754.4,6305.3,64
1723113395,71159,117.6,2.219,7988.4,6300.49,64
1723113397,73110,117.6,2.285,8226,6300.49,64
1723113398,74766,119.6,2.318,8344.8,6334.59,64
1723113400,76571,117.7,2.384,8582.4,6300.52,64
1723113402,78421,117.6,2.449,8816.4,6301.54,64
1723113404,80286,117.9,2.516,9057.6,6308.12,64
1723113406,82096,118.9,2.581,9291.6,6300.52,64
1723113408,83960,118.0,2.646,9525.6,6300.51,64
1723113410,85940,117.8,2.679,9644.4,6303.38,64
1723113411,87609,117.4,2.745,9882,5951.39,64
1723113413,89249,114.4,2.808,10108.8,5680.9,64
1723113414,90894,113.4,2.840,10224,5499.79,64
1723113416,92569,117.1,2.904,10454.4,6061.84,64
1723113418,94281,116.7,2.969,10688.4,6160.38,64
1723113420,96227,117.5,3.035,10926,6400,64
1723113421,97918,118.2,3.067,11041.2,6342.87,64
1723113424,99868,118.8,3.134,11282.4,6312.12,64
1723113426,101959,118.3,3.200,11520,6400,64
1723113427,103797,118.3,3.265,11754,6400,64
1723113429,105472,118.9,3.331,11991.6,6302.5,64
1723113431,107468,118.2,3.397,12229.2,6400,64
1723113433,109518,118.3,3.463,12466.8,6400,64
1723113435,111602,119.2,3.529,12704.4,6400,64
1723113437,113678,118.3,3.595,12942,6400,64
1723113439,115829,118.4,3.661,13179.6,6400,64
1723113441,117817,119.3,3.727,13417.2,6400,64
1723113443,119487,118.2,3.793,13654.8,6302.5,64
1723113445,121499,118.4,3.859,13892.4,6322.19,64
1723113447,123679,119.3,3.925,14130,6400,64
1723113449,125760,118.5,3.991,14367.6,6400,64
1723113451,127859,118.7,4.057,14605.2,6400,64
1723113453,129723,118.9,4.124,14846.4,6300.49,64
1723113455,131392,117.5,4.189,15080.4,6201.09,64
1723113457,133488,118.3,4.254,15314.4,6346.41,64
1723113459,135569,118.9,4.321,15555.6,6300.49,64
1723113461,137430,118.0,4.387,15793.2,6300.52,64
1723113463,139590,118.6,4.452,16027.2,6400,64
1723113465,141650,119.6,4.519,16268.4,6400,64
1723113467,143830,118.6,4.585,16506,6400,64
1723113469,145859,118.7,4.651,16743.6,6400,64
1723113472,147959,119.2,4.717,16981.2,6300.49,64
1723113473,149924,118.2,4.783,17218.8,6299.56,64
1723113475,151517,119.7,4.849,17456.4,6352.26,64
1723113477,153163,120.9,4.916,17697.6,6302.5,64
1723113478,154810,119.2,4.949,17816.4,6310.17,64
1723113480,156653,118.9,5.015,18054,6300.56,64
1723113482,158278,120.3,5.082,18295.2,6300.54,64
