DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723119240,262,83.8,0.000,0,490.403,64
1723119241,1565,83.1,0.046,165.6,103.034,64
1723119243,2863,85.0,0.070,252,101.147,64
1723119244,4162,83.5,0.093,334.8,102.138,64
1723119245,5472,83.2,0.139,500.4,137.88,64
1723119247,6770,83.0,0.162,583.2,101.1,64
1723119248,8080,83.2,0.186,669.6,100.217,64
1723119249,9397,85.0,0.232,835.2,100.99,64
1723119251,10702,83.8,0.255,918,149.76,64
1723119252,12015,83.0,0.278,1000.8,101.147,64
1723119253,13319,82.9,0.324,1166.4,101.162,64
1723119255,14620,84.8,0.348,1252.8,101.147,64
1723119256,15924,84.0,0.371,1335.6,157.866,64
1723119257,17226,83.2,0.394,1418.4,100.124,64
1723119258,18529,82.7,0.440,1584,101.1,64
1723119260,19836,83.0,0.463,1666.8,101.084,64
1723119261,21140,85.1,0.487,1753.2,164.611,64
1723119262,22439,82.6,0.533,1918.8,101.068,64
1723119264,23746,82.9,0.556,2001.6,100.093,64
1723119265,25044,82.9,0.579,2084.4,101.1,64
1723119266,26347,83.0,0.626,2253.6,179.569,64
1723119268,27645,83.3,0.649,2336.4,101.116,64
1723119269,28955,82.8,0.672,2419.2,101.116,64
1723119270,30256,82.7,0.695,2502,101.084,64
1723119272,31569,83.5,0.741,2667.6,174.663,64
1723119273,32863,84.7,0.764,2750.4,101.162,64
1723119274,34161,83.3,0.788,2836.8,101.053,64
1723119275,35462,82.6,0.833,2998.8,101.084,64
1723119277,36769,83.3,0.857,3085.2,178.494,64
1723119278,38073,83.1,0.880,3168,101.131,64
1723119279,39400,84.7,0.926,3333.6,101.162,64
1723119281,40703,82.8,0.950,3420,101.084,64
1723119282,42011,82.8,0.973,3502.8,175.546,64
1723119283,43318,83.5,1.019,3668.4,102.17,64
1723119285,44621,84.5,1.042,3751.2,102.012,64
1723119286,45924,83.2,1.065,3834,99.1635,64
1723119287,47269,82.7,1.088,3916.8,177.585,64
1723119289,48597,83.1,1.135,4086,110.225,64
1723119290,49904,83.2,1.157,4165.2,113.099,64
1723119291,51203,85.0,1.181,4251.6,107.146,64
1723119292,52526,83.0,1.227,4417.2,175.519,64
