DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723114281,546771,84.4,12.715,45774,130.82,64
1723114287,552073,84.7,12.832,46195.2,130.033,64
1723114292,557371,84.9,12.949,46616.4,130.453,64
1723114297,562675,83.3,13.065,47034,130.213,64
1723114303,567978,83.6,13.204,47534.4,121.859,64
1723114308,573279,83.4,13.321,47955.6,125.423,64
1723114313,578578,83.5,0.070,252,127.644,64
1723114318,583886,83.4,0.210,756,123.223,64
1723114324,589191,83.2,0.326,1173.6,129.837,64
1723114329,594498,84.5,0.443,1594.8,129.047,64
1723114334,599799,84.9,0.583,2098.8,130.441,64
1723114340,605098,84.7,0.699,2516.4,130.413,64
1723114345,610401,83.4,0.816,2937.6,131.212,64
1723114350,615703,83.3,0.932,3355.2,130.025,64
1723114356,620999,83.5,1.072,3859.2,129.438,64
1723114361,626310,83.5,1.188,4276.8,131.265,64
1723114366,631613,83.4,1.305,4698,131.427,64
1723114371,636912,83.5,1.445,5202,130.441,64
1723114377,642247,84.7,1.562,5623.2,128.631,64
1723114382,647558,84.8,1.678,6040.8,125.639,64
1723114387,652867,84.4,1.818,6544.8,126.246,64
1723114393,658169,83.4,1.934,6962.4,130.625,64
1723114398,663479,83.6,2.051,7383.6,130.257,64
1723114403,668789,83.6,2.191,7887.6,132.609,64
1723114409,674089,83.3,2.308,8308.8,130.425,64
1723114414,679385,83.2,2.424,8726.4,129.837,64
1723114419,684689,84.6,2.541,9147.6,130.62,64
1723114425,689997,84.6,2.681,9651.6,130.25,64
1723114430,695296,84.7,2.797,10069.2,130.649,64
1723114435,700599,83.2,2.913,10486.8,130.625,64
1723114440,705901,83.5,3.053,10990.8,129.047,64
1723114446,711198,83.5,3.169,11408.4,129.251,64
1723114451,716502,83.5,3.286,11829.6,130.816,64
1723114456,721802,83.2,3.425,12330,127.457,64
1723114462,727113,83.4,0.000,0,127.045,64
1723114467,732423,84.9,0.117,421.2,200.755,64
1723114472,737727,84.7,0.257,925.2,222.584,64
1723114478,743026,84.5,0.373,1342.8,227.123,64
1723114483,748324,83.4,0.489,1760.4,230.348,64
1723114488,753624,83.4,0.606,2181.6,230.312,64
1723114493,758920,83.3,0.746,2685.6,230.312,64
1723114499,764225,83.1,0.862,3103.2,230.519,64
1723114504,769535,83.4,0.979,3524.4,230.305,64
1723114509,774847,84.5,1.118,4024.8,229.142,64
1723114515,780162,84.5,1.235,4446,230.904,64
1723114520,785462,84.4,1.351,4863.6,229.72,64
1723114525,790767,83.2,1.490,5364,229.949,64
1723114531,796071,83.5,1.606,5781.6,229.342,64
1723114536,801369,83.4,1.723,6202.8,231.275,64
1723114541,806676,83.2,1.839,6620.4,229.156,64
1723114547,811983,83.5,1.979,7124.4,229.513,64
1723114552,817286,83.3,2.095,7542,227.887,64
1723114557,822593,84.5,2.212,7963.2,226.738,64
1723114562,827911,84.3,2.352,8467.2,225.105,64
1723114568,833222,84.6,2.468,8884.8,224.733,64
1723114573,838526,83.3,2.584,9302.4,225.546,64
1723114578,843821,83.3,2.723,9802.8,227.944,64
1723114584,849130,83.0,2.840,10224,229.306,64
1723114589,854435,83.3,2.956,10641.6,230.918,64
1723114594,859740,83.3,3.072,11059.2,230.519,64
1723114600,865062,83.2,3.212,11563.2,229.734,64
1723114605,870361,84.2,3.328,11980.8,228.943,64
1723114610,875660,84.5,3.444,12398.4,229.549,64
1723114616,880962,84.5,3.584,12902.4,230.105,64
1723114621,886271,83.3,3.700,13320,228.971,64
1723114626,891579,82.9,3.816,13737.6,228.75,64
1723114631,896882,83.3,3.955,14238,230.548,64
1723114637,902207,83.3,4.072,14659.2,229.528,64
1723114642,907514,83.3,4.188,15076.8,229.335,64
1723114647,912832,84.2,4.327,15577.2,227.309,64
1723114653,918142,84.5,4.443,15994.8,225.318,64
1723114658,923456,84.5,4.560,16416,224.326,64
1723114663,928757,83.2,4.699,16916.4,226.11,64
1723114669,934059,82.9,4.815,17334,228.515,64
1723114674,939359,83.1,4.931,17751.6,229.699,64
1723114679,944670,83.2,5.048,18172.8,230.897,64
1723114685,949973,83.2,5.187,18673.2,228.379,64
1723114690,955299,82.9,5.303,19090.8,229.934,64
1723114695,960620,84.3,5.419,19508.4,229.898,64
1723114700,965916,84.4,5.559,20012.4,231.126,64
1723114706,971234,84.3,5.674,20426.4,230.12,64
1723114711,976541,83.1,5.790,20844,229.941,64
1723114716,981849,82.9,5.930,21348,229.905,64
1723114722,987147,83.2,6.046,21765.6,230.926,64
1723114727,992468,83.1,6.162,22183.2,228.115,64
1723114732,997781,83.2,6.301,22683.6,226.131,64
1723114738,1003180,83.2,6.418,23104.8,224.333,64
1723114743,1008498,84.4,6.534,23522.4,224.94,64
1723114748,1013801,84.3,6.673,24022.8,226.667,64
1723114754,1019113,84.0,6.789,24440.4,227.551,64
1723114759,1024415,83.2,6.905,24858,229.313,64
1723114764,1029744,83.2,7.021,25275.6,230.312,64
1723114770,1035047,83.2,7.160,25776,230.861,64
1723114775,1040355,83.0,7.276,26193.6,230.312,64
1723114780,1045668,83.1,7.393,26614.8,230.298,64
1723114786,1050978,83.2,7.532,27115.2,230.134,64
1723114791,1056281,84.4,7.648,27532.8,228.764,64
1723114796,1061585,84.2,7.764,27950.4,229.156,64
1723114801,1066900,84.3,7.903,28450.8,230.705,64
1723114807,1072223,83.3,8.019,28868.4,229.313,64
1723114812,1077538,83.4,8.135,29286,226.973,64
1723114817,1082843,83.2,8.275,29790,224.719,64
1723114823,1088161,83.3,8.391,30207.6,223.583,64
1723114828,1093466,83.2,8.507,30625.2,226.945,64
1723114833,1098767,84.5,8.647,31129.2,228.379,64
1723114839,1104080,84.2,8.763,31546.8,230.497,64
1723114844,1109397,84.3,8.879,31964.4,231.304,64
1723114849,1114698,83.2,8.995,32382,229.927,64
1723114855,1120016,83.3,9.135,32886,229.934,64
1723114860,1125316,83.2,9.251,33303.6,229.149,64
1723114865,1130616,83.0,9.368,33724.8,231.525,64
1723114870,1135932,83.4,9.507,34225.2,228.771,64
1723114876,1141243,83.5,9.623,34642.8,231.282,64
1723114881,1146547,84.5,9.740,35064,228.764,64
1723114886,1151848,84.3,9.880,35568,228.914,64
1723114892,1157156,84.5,9.995,35982,226.145,64
1723114897,1162463,83.3,10.112,36403.2,224.348,64
1723114902,1167768,83.4,10.251,36903.6,222.57,64
1723114908,1173075,83.2,10.367,37321.2,226.938,64
1723114913,1178375,83.5,10.484,37742.4,228.5,64
1723114918,1183682,83.4,10.601,38163.6,228.943,64
1723114924,1188982,83.3,10.740,38664,229.135,64
1723114929,1194290,84.4,10.857,39085.2,228.757,64
1723114934,1199595,84.4,10.973,39502.8,230.105,64
