DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723114462,255,83.4,0.000,0,438.943,64
1723114463,1575,84.0,0.023,82.8,100.077,64
1723114464,2885,83.6,0.070,252,201.27,64
1723114466,4181,85.1,0.094,338.4,202.262,64
1723114467,5509,84.9,0.117,421.2,201.332,64
1723114468,6815,84.1,0.141,507.6,198.388,64
1723114470,8112,83.6,0.187,673.2,201.302,64
1723114471,9419,83.4,0.210,756,201.208,64
1723114472,10728,84.7,0.233,838.8,201.302,64
1723114474,12032,83.5,0.280,1008,208.404,64
1723114475,13333,83.4,0.303,1090.8,201.208,64
1723114476,14636,83.4,0.327,1177.2,200.372,64
1723114477,15951,84.5,0.373,1342.8,202.23,64
1723114479,17250,84.9,0.397,1429.2,216.276,64
1723114480,18550,83.5,0.420,1512,201.302,64
1723114481,19861,83.5,0.466,1677.6,202.199,64
1723114483,21171,83.4,0.489,1760.4,197.519,64
1723114484,22475,85.0,0.513,1846.8,230.202,64
1723114485,23791,84.6,0.536,1929.6,200.31,64
1723114487,25101,83.3,0.583,2098.8,201.302,64
1723114488,26402,83.4,0.606,2181.6,200.279,64
1723114489,27710,83.7,0.629,2264.4,236.082,64
1723114490,29025,84.4,0.676,2433.6,198.45,64
1723114492,30334,83.5,0.700,2520,202.356,64
1723114493,31648,83.4,0.722,2599.2,200.928,64
1723114494,32950,83.4,0.769,2768.4,239.094,64
1723114496,34256,84.6,0.792,2851.2,197.58,64
1723114497,35579,84.6,0.816,2937.6,200.372,64
1723114498,36876,83.4,0.862,3103.2,201.332,64
1723114500,38188,83.8,0.885,3186,236.191,64
1723114501,39512,83.5,0.909,3272.4,200.341,64
1723114502,40811,84.7,0.932,3355.2,200.341,64
1723114504,42115,83.4,0.979,3524.4,200.372,64
1723114505,43415,83.7,1.002,3607.2,243.98,64
1723114506,44733,83.4,1.025,3690,201.208,64
1723114508,46033,84.5,1.072,3859.2,199.38,64
1723114509,47340,84.5,1.095,3942,200.372,64
1723114510,48646,83.4,1.118,4024.8,238.25,64
1723114511,49964,83.2,1.165,4194,202.293,64
1723114513,51266,83.4,1.188,4276.8,201.332,64
1723114514,52564,84.6,1.211,4359.6,200.372,64
1723114515,53872,84.5,1.258,4528.8,245.773,64
1723114517,55205,83.3,1.281,4611.6,201.364,64
1723114518,56510,83.5,1.304,4694.4,200.403,64
1723114519,57809,83.3,1.327,4777.2,200.372,64
1723114521,59109,84.8,1.374,4946.4,236.082,64
1723114522,60419,83.4,1.398,5032.8,202.23,64
1723114523,61726,83.4,1.421,5115.6,201.27,64
1723114524,63022,83.2,1.467,5281.2,201.302,64
1723114526,64334,84.7,1.490,5364,236.265,64
1723114527,65643,84.9,1.514,5450.4,200.341,64
1723114528,66951,83.1,1.560,5616,200.372,64
