DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723116554,254,85.9,0.024,86.4,460.636,64
1723116556,1569,84.1,0.047,169.2,101.084,64
1723116557,3067,84.5,0.070,252,1022.48,64
1723116559,4656,115.5,0.129,464.4,6321.15,64
1723116560,6221,116.5,0.194,698.4,6348.31,64
1723116562,7765,116.6,0.227,817.2,6345.54,64
1723116564,9347,116.6,0.291,1047.6,6306.25,64
1723116565,10901,116.6,0.324,1166.4,6288.19,64
1723116567,12487,118.7,0.389,1400.4,6335.85,64
1723116568,14044,116.8,0.422,1519.2,6281.13,64
1723116570,15598,117.1,0.487,1753.2,6332.77,64
1723116571,17157,117.3,0.519,1868.4,6328.61,64
1723116573,18739,118.7,0.585,2106,6314.07,64
1723116575,20324,117.2,0.650,2340,6338.68,64
1723116576,21879,117.2,0.683,2458.8,6291.9,64
1723116578,23444,118.0,0.748,2692.8,6313.96,64
1723116579,25060,119.0,0.781,2811.6,6285.25,64
1723116581,26657,117.2,0.846,3045.6,6275.85,64
1723116582,28273,117.4,0.911,3279.6,6333.92,64
1723116584,29832,117.9,0.944,3398.4,6302.18,64
1723116586,31422,119.1,1.010,3636,6293.68,64
1723116587,32981,117.3,1.043,3754.8,6237.34,64
1723116589,34517,117.5,1.108,3988.8,6338.16,64
1723116590,36092,118.2,1.140,4104,6306.16,64
1723116592,37686,117.7,1.206,4341.6,6337.25,64
1723116594,39293,117.5,1.272,4579.2,6309.2,64
1723116595,40906,117.7,1.304,4694.4,6346.77,64
1723116597,42444,119.1,1.370,4932,6318.61,64
1723116598,44002,117.5,1.403,5050.8,6295.1,64
1723116600,45567,117.5,1.468,5284.8,6315.24,64
1723116601,47141,117.6,1.501,5403.6,6333.49,64
1723116603,48785,119.5,1.567,5641.2,6335.64,64
1723116605,50354,117.8,1.632,5875.2,6287.48,64
1723116606,51933,117.6,1.665,5994,6295.9,64
1723116608,53504,118.4,1.731,6231.6,6323.03,64
1723116609,55090,119.4,1.764,6350.4,6298.27,64
1723116611,56645,117.7,1.829,6584.4,6316.32,64
1723116612,58190,117.9,1.862,6703.2,6323.17,64
1723116614,59759,118.2,1.928,6940.8,6267.81,64
1723116616,61318,119.5,1.994,7178.4,6302.2,64
1723116617,62905,117.7,2.026,7293.6,6320.21,64
1723116619,64505,117.6,2.092,7531.2,6290.04,64
1723116620,66062,118.5,2.124,7646.4,6343.51,64
1723116622,67618,117.9,2.190,7884,6338.18,64
1723116623,69204,118.0,2.256,8121.6,6331.21,64
1723116625,70789,117.6,2.289,8240.4,6336.75,64
1723116627,72348,118.7,2.355,8478,6299.69,64
1723116628,73890,117.9,2.388,8596.8,6328.93,64
1723116630,75494,117.6,2.453,8830.8,6297.94,64
1723116631,77085,117.9,2.486,8949.6,6299.17,64
1723116633,78673,119.7,2.552,9187.2,6343.24,64
1723116634,80217,117.8,2.617,9421.2,6307.13,64
1723116636,81775,117.8,2.650,9540,6319.81,64
1723116638,83336,118.6,2.716,9777.6,6313.96,64
1723116639,84869,119.5,2.749,9896.4,6312.03,64
1723116641,86440,119.0,2.815,10134,6331.88,64
1723116642,88044,118.8,2.848,10252.8,6325.74,64
1723116644,89682,119.3,2.914,10490.4,6307.05,64
1723116646,91286,120.2,2.980,10728,6307.82,64
1723116647,92863,118.5,3.013,10846.8,6330.04,64
1723116649,94462,118.4,3.079,11084.4,6286.67,64
1723116650,96024,119.2,3.112,11203.2,6323.88,64
1723116652,97582,118.5,3.178,11440.8,6315.54,64
1723116653,99174,118.5,3.211,11559.6,6294.12,64
1723116655,100754,118.4,3.277,11797.2,6313.02,64
1723116657,102337,119.2,3.344,12038.4,6327.85,64
1723116658,103893,118.6,3.377,12157.2,6349.04,64
1723116660,105452,118.4,3.442,12391.2,6256.77,64
1723116661,107025,118.6,3.476,12513.6,6335.77,64
1723116663,108603,120.0,3.542,12751.2,6278.29,64
1723116664,110160,118.5,3.575,12870,6315.23,64
1723116666,111718,118.6,3.640,13104,6328.99,64
1723116668,113316,118.5,3.707,13345.2,6335.26,64
1723116669,114886,120.3,3.740,13464,6326.46,64
1723116671,116441,118.2,3.806,13701.6,6233.95,64
1723116672,117974,118.3,3.839,13820.4,6280.19,64
