DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723114941,256,84.7,0.000,0,437.591,64
1723114942,1560,83.3,0.023,82.8,101.068,64
1723114943,2871,83.2,0.069,248.4,400.744,64
1723114945,4177,84.6,0.093,334.8,403.657,64
1723114946,5481,86.1,0.117,421.2,402.297,64
1723114947,6782,86.0,0.141,507.6,399.752,64
1723114949,8091,84.6,0.188,676.8,400.806,64
1723114950,9404,84.6,0.211,759.6,399.752,64
1723114951,10709,84.9,0.235,846,417.736,64
1723114953,12017,85.7,0.282,1015.2,396.153,64
1723114954,13326,84.7,0.306,1101.6,396.092,64
1723114955,14634,84.6,0.329,1184.4,403.72,64
1723114956,15937,84.8,0.376,1353.6,426.6,64
1723114958,17233,85.8,0.400,1440,395.221,64
1723114959,18533,85.9,0.424,1526.4,399.814,64
1723114960,19840,84.7,0.471,1695.6,402.603,64
1723114962,21139,85.0,0.495,1782,437.581,64
1723114963,22454,84.7,0.518,1864.8,413.575,64
1723114964,23759,85.7,0.542,1951.2,400.682,64
1723114966,25056,84.7,0.589,2120.4,399.007,64
1723114967,26367,84.9,0.613,2206.8,437.514,64
1723114968,27665,84.7,0.636,2289.6,400.682,64
1723114969,28964,85.7,0.684,2462.4,399.876,64
1723114971,30280,86.0,0.708,2548.8,399.752,64
1723114972,31577,84.8,0.731,2631.6,433.882,64
1723114973,32882,84.9,0.778,2800.8,400.682,64
1723114975,34179,84.6,0.802,2887.2,399.938,64
1723114976,35482,85.9,0.826,2973.6,398.2,64
1723114977,36782,86.0,0.850,3060,437.514,64
1723114979,38087,84.6,0.897,3229.2,400.557,64
1723114980,39381,84.8,0.920,3312,400.744,64
1723114981,40679,84.7,0.944,3398.4,400.744,64
1723114982,41983,86.3,0.992,3571.2,436.724,64
1723114984,43284,84.8,1.015,3654,399.876,64
1723114985,44584,84.7,1.039,3740.4,400.682,64
1723114986,45883,84.7,1.086,3909.6,401.798,64
1723114988,47181,86.1,1.110,3996,435.935,64
1723114989,48478,86.2,1.133,4078.8,400.682,64
1723114990,49778,84.7,1.157,4165.2,398.138,64
1723114992,51084,84.7,1.204,4334.4,399.814,64
