DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723118124,252,83.5,0.000,0,489.418,64
1723118125,1550,83.9,0.046,165.6,114.109,64
1723118127,2853,84.7,0.070,252,102.154,64
1723118128,4154,83.1,0.093,334.8,100.202,64
1723118129,5454,82.8,0.116,417.6,122.982,64
1723118131,6768,83.1,0.162,583.2,129.944,64
1723118132,8065,83.3,0.185,666,101.162,64
1723118133,9362,84.7,0.208,748.8,101.162,64
1723118134,10663,82.6,0.255,918,111.08,64
1723118136,11963,83.4,0.278,1000.8,138.893,64
1723118137,13280,82.7,0.301,1083.6,100.186,64
1723118138,14580,84.3,0.347,1249.2,102.17,64
1723118140,15890,82.9,0.370,1332,109.148,64
1723118141,17202,83.3,0.393,1414.8,140.856,64
1723118142,18510,82.7,0.439,1580.4,101.116,64
1723118144,19831,83.0,0.462,1663.2,101.162,64
1723118145,21143,84.6,0.486,1749.6,101.131,64
1723118146,22455,83.2,0.509,1832.4,143.832,64
1723118148,23754,82.6,0.555,1998,99.1942,64
1723118149,25069,82.7,0.578,2080.8,99.1635,64
1723118150,26388,83.0,0.601,2163.6,104.106,64
1723118151,27710,83.3,0.647,2329.2,151.72,64
1723118153,29018,82.7,0.670,2412,100.202,64
1723118154,30329,82.7,0.693,2494.8,101.131,64
1723118155,31636,82.7,0.739,2660.4,101.131,64
1723118157,32940,85.2,0.763,2746.8,156.799,64
1723118158,34237,82.9,0.786,2829.6,101.162,64
1723118159,35539,82.6,0.832,2995.2,100.155,64
1723118161,36857,82.7,0.855,3078,106.088,64
1723118162,38165,83.5,0.878,3160.8,163.848,64
1723118163,39475,84.8,0.924,3326.4,101.162,64
1723118165,40790,82.5,0.947,3409.2,99.1942,64
1723118166,42112,82.6,0.970,3492,102.17,64
1723118167,43414,83.2,0.993,3574.8,176.593,64
1723118169,44720,84.4,1.040,3744,100.17,64
1723118170,46021,82.8,1.063,3826.8,101.131,64
1723118171,47349,82.7,1.086,3909.6,107.03,64
1723118172,48661,83.6,1.132,4075.2,187.681,64
1723118174,49977,83.4,1.155,4158,103.338,64
1723118175,51280,84.9,1.179,4244.4,100.326,64
1723118176,52594,82.3,1.225,4410,101.116,64
1723118178,53909,83.0,1.248,4492.8,168.813,64
1723118179,55215,82.8,1.271,4575.6,101.131,64
1723118180,56519,82.9,1.317,4741.2,102.17,64
1723118182,57817,82.6,1.340,4824,101.131,64
1723118183,59128,82.8,1.363,4906.8,175.519,64
1723118184,60426,83.1,1.386,4989.6,101.084,64
1723118186,61720,82.8,1.432,5155.2,98.2477,64
1723118187,63018,84.4,1.455,5238,102.154,64
1723118188,64314,82.7,1.478,5320.8,176.456,64
1723118189,65636,82.6,1.524,5486.4,101.116,64
1723118191,66940,82.8,1.547,5569.2,104.089,64
1723118192,68240,83.3,1.571,5655.6,100.155,64
1723118193,69543,84.7,1.617,5821.2,159.727,64
1723118195,70842,83.0,1.641,5907.6,101.147,64
1723118196,72152,83.1,1.663,5986.8,125.976,64
1723118197,73449,83.0,1.687,6073.2,104.154,64
1723118199,74774,84.8,1.733,6238.8,146.899,64
1723118200,76074,83.3,1.756,6321.6,101.162,64
1723118201,77374,82.9,1.779,6404.4,104.138,64
1723118202,78704,83.4,1.826,6573.6,239.28,64
1723118204,80000,85.1,1.849,6656.4,436.657,64
1723118205,81300,87.4,1.874,6746.4,406.758,64
1723118206,82605,84.7,1.921,6915.6,401.549,64
1723118208,83916,84.9,1.944,6998.4,400.806,64
1723118209,85229,84.9,1.968,7084.8,432.956,64
1723118210,86531,85.6,2.016,7257.6,419.526,64
1723118212,87830,85.1,2.039,7340.4,404.837,64
1723118213,89127,85.0,2.063,7426.8,400.806,64
1723118214,90452,84.8,2.086,7509.6,430.569,64
1723118216,91749,85.4,2.133,7678.8,430.302,64
1723118217,93051,86.8,2.158,7768.8,399.628,64
1723118218,94363,85.0,2.181,7851.6,399.69,64
1723118219,95676,84.7,2.228,8020.8,423.558,64
1723118221,96980,85.7,2.252,8107.2,436.724,64
1723118222,98281,85.3,2.276,8193.6,401.736,64
1723118223,99586,84.7,2.323,8362.8,400.682,64
1723118225,100905,84.9,2.347,8449.2,405.955,64
1723118226,102222,85.3,2.371,8535.6,442.027,64
1723118227,103519,84.9,2.418,8704.8,399.628,64
1723118229,104825,86.6,2.442,8791.2,400.682,64
1723118230,106136,85.2,2.466,8877.6,403.845,64
1723118231,107440,85.3,2.489,8960.4,432.03,64
1723118233,108749,84.8,2.536,9129.6,400.806,64
1723118234,110061,85.2,2.560,9216,400.62,64
1723118235,111364,86.8,2.584,9302.4,399.69,64
1723118236,112672,86.3,2.632,9475.2,439.634,64
1723118238,113991,85.9,2.656,9561.6,399.566,64
1723118239,115297,85.6,2.680,9648,399.566,64
1723118240,116597,87.1,2.728,9820.8,399.69,64
1723118242,117902,86.4,2.751,9903.6,455.512,64
1723118243,119197,85.6,2.775,9990,399.69,64
1723118244,120502,85.5,2.823,10162.8,399.814,64
1723118246,121829,85.8,2.846,10245.6,399.752,64
1723118247,123137,88.1,2.871,10335.6,468.124,64
1723118248,124448,86.1,2.895,10422,399.628,64
1723118250,125770,85.4,2.942,10591.2,401.549,64
1723118251,127079,85.5,2.966,10677.6,399.566,64
1723118252,128387,86.0,2.990,10764,467.711,64
1723118253,129707,85.5,3.038,10936.8,399.628,64
1723118255,131022,85.5,3.062,11023.2,399.69,64
1723118256,132328,85.5,3.086,11109.6,399.69,64
1723118257,133629,86.2,3.133,11278.8,478.959,64
1723118259,134940,87.3,3.157,11365.2,400.62,64
1723118260,136240,85.7,3.181,11451.6,399.876,64
1723118261,137540,85.5,3.229,11624.4,400.682,64
1723118263,138849,86.0,3.252,11707.2,479.256,64
1723118264,140154,86.1,3.277,11797.2,399.814,64
1723118265,141457,87.4,3.301,11883.6,401.612,64
1723118267,142765,85.5,3.348,12052.8,395.221,64
1723118268,144064,85.8,3.372,12139.2,471.464,64
1723118269,145377,85.9,3.396,12225.6,400.682,64
1723118270,146680,87.3,3.444,12398.4,399.752,64
1723118272,147977,85.7,3.468,12484.8,399.938,64
1723118273,149277,85.5,3.492,12571.2,469.188,64
1723118274,150585,85.2,3.539,12740.4,395.098,64
1723118276,151886,85.8,3.563,12826.8,400.682,64
1723118277,153196,87.3,3.587,12913.2,395.16,64
1723118278,154543,85.6,3.635,13086,447.921,64
1723118280,155845,85.7,3.659,13172.4,400.682,64
1723118281,157157,85.6,3.683,13258.8,395.221,64
1723118282,158456,85.8,3.706,13341.6,400.62,64
1723118284,159758,86.0,3.754,13514.4,446.927,64
1723118285,161062,85.9,3.778,13600.8,399.628,64
1723118286,162359,85.5,3.802,13687.2,400.866,64
1723118287,163655,85.7,3.850,13860,399.752,64
1723118289,164959,87.6,3.874,13946.4,438.37,64
1723118290,166260,86.3,3.898,14032.8,407.751,64
1723118291,167562,85.5,3.946,14205.6,400.744,64
1723118293,168864,85.5,3.969,14288.4,399.69,64
1723118294,170163,85.9,3.993,14374.8,435.665,64
1723118295,171472,87.9,4.017,14461.2,415.623,64
1723118297,172774,85.4,4.065,14634,401.487,64
1723118298,174078,85.6,4.089,14720.4,394.976,64
1723118299,175388,85.6,4.112,14803.2,428.452,64
1723118300,176688,87.6,4.161,14979.6,425.608,64
1723118302,177993,85.7,4.184,15062.4,402.666,64
1723118303,179298,85.5,4.208,15148.8,401.487,64
1723118304,180615,85.4,4.256,15321.6,422.305,64
1723118306,181920,86.5,4.279,15404.4,433.949,64
1723118307,183229,87.4,4.304,15494.4,401.736,64
1723118308,184565,85.7,4.351,15663.6,401.736,64
1723118310,185898,85.5,4.375,15750,408.194,64
1723118311,187199,86.3,4.399,15836.4,438.37,64
1723118312,188515,86.0,4.447,16009.2,401.798,64
1723118314,189828,85.8,4.471,16095.6,403.595,64
1723118315,191135,85.7,4.495,16182,408.616,64
1723118316,192438,85.9,4.519,16268.4,430.769,64
1723118318,193736,85.8,4.566,16437.6,399.752,64
1723118319,195044,87.5,4.590,16524,400.557,64
1723118320,196377,85.7,4.615,16614,399.628,64
1723118321,197686,86.0,4.662,16783.2,439.293,64
1723118323,199001,85.6,4.686,16869.6,397.146,64
1723118324,200307,85.9,4.710,16956,402.728,64
1723118325,201621,85.5,4.758,17128.8,395.098,64
1723118327,202917,86.4,4.782,17215.2,455.725,64
1723118328,204216,85.7,4.806,17301.6,395.283,64
1723118329,205518,85.5,4.853,17470.8,395.098,64
1723118331,206818,87.4,4.877,17557.2,399.628,64
1723118332,208124,86.3,4.901,17643.6,456.505,64
1723118333,209426,85.9,4.925,17730,400.557,64
1723118335,210725,85.4,4.973,17902.8,404.586,64
1723118336,212048,85.9,4.996,17985.6,398.698,64
1723118337,213362,87.7,5.021,18075.6,467.494,64
1723118338,214666,85.4,5.069,18248.4,399.814,64
1723118340,215972,85.6,5.092,18331.2,395.283,64
1723118341,217273,85.5,5.116,18417.6,402.603,64
1723118342,218568,87.9,5.164,18590.4,472.603,64
1723118344,219875,85.8,5.188,18676.8,399.69,64
1723118345,221236,85.6,5.212,18763.2,402.728,64
1723118346,222550,85.6,5.259,18932.4,398.948,64
1723118348,223849,86.4,5.283,19018.8,472.53,64
1723118349,225163,87.6,5.308,19108.8,400.62,64
1723118350,226466,85.8,5.355,19278,404.586,64
1723118352,227772,85.5,5.379,19364.4,400.744,64
1723118353,229072,85.9,5.403,19450.8,473.376,64
1723118354,230381,86.4,5.427,19537.2,400.557,64
1723118355,231687,85.6,5.475,19710,399.566,64
1723118357,232993,85.5,5.499,19796.4,400.62,64
1723118358,234300,85.5,5.523,19882.8,470.545,64
1723118359,235600,85.6,5.570,20052,399.752,64
1723118361,236900,87.5,5.594,20138.4,399.752,64
1723118362,238205,85.8,5.618,20224.8,400.806,64
1723118363,239511,85.6,5.666,20397.6,463.74,64
1723118365,240810,85.7,5.690,20484,402.728,64
1723118366,242113,85.9,5.713,20566.8,399.628,64
1723118367,243414,87.6,5.738,20656.8,400.495,64
1723118369,244733,85.8,5.786,20829.6,458.348,64
1723118370,246048,86.0,5.809,20912.4,399.69,64
1723118371,247349,85.6,5.833,20998.8,401.612,64
1723118372,248651,87.3,5.881,21171.6,399.752,64
