DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723120455,262,86.5,0.000,0,514.185,64
1723120456,1560,85.3,0.047,169.2,102.107,64
1723120458,2861,83.9,0.070,252,100.155,64
1723120459,4174,84.4,0.094,338.4,134.883,64
1723120460,5472,83.9,0.117,421.2,98.2323,64
1723120461,6795,84.5,0.164,590.4,100.14,64
1723120463,8095,84.1,0.188,676.8,101.131,64
1723120464,9394,84.1,0.211,759.6,142.751,64
1723120465,10711,83.6,0.258,928.8,99.1635,64
1723120467,12009,85.5,0.281,1011.6,102.122,64
1723120468,13309,84.5,0.305,1098,101.147,64
1723120469,14614,83.8,0.351,1263.6,136.93,64
1723120471,15928,83.8,0.375,1350,105.146,64
1723120472,17238,83.8,0.398,1432.8,102.154,64
1723120473,18543,85.4,0.422,1519.2,100.17,64
1723120475,19845,84.0,0.468,1684.8,141.825,64
1723120476,21142,83.7,0.492,1771.2,101.116,64
1723120477,22463,83.8,0.515,1854,101.131,64
1723120478,23774,85.1,0.561,2019.6,101.162,64
1723120480,25082,84.7,0.585,2106,137.88,64
1723120481,26391,83.7,0.609,2192.4,101.147,64
1723120482,27707,83.3,0.655,2358,101.116,64
1723120484,29028,83.6,0.678,2440.8,101.162,64
1723120485,30346,85.2,0.702,2527.2,141.825,64
1723120486,31653,84.7,0.749,2696.4,102.075,64
1723120488,32967,83.6,0.772,2779.2,99.2096,64
1723120489,34270,83.7,0.795,2862,103.114,64
1723120490,35585,83.7,0.842,3031.2,139.82,64
1723120492,36893,84.3,0.865,3114,101.131,64
1723120493,38193,83.5,0.888,3196.8,101.162,64
1723120494,39491,83.5,0.911,3279.6,101.131,64
1723120495,40796,83.8,0.958,3448.8,137.923,64
1723120497,42115,85.2,0.982,3535.2,104.138,64
1723120498,43430,84.5,1.005,3618,101.21,64
1723120499,44732,83.3,1.051,3783.6,101.147,64
1723120501,46030,83.6,1.075,3870,140.812,64
1723120502,47351,83.8,1.098,3952.8,104.17,64
1723120503,48666,85.3,1.145,4122,109.316,64
1723120505,49964,83.8,1.168,4204.8,105.358,64
1723120506,51264,83.8,1.192,4291.2,139.152,64
1723120507,52584,83.9,1.238,4456.8,101.147,64
1723120509,53894,84.9,1.261,4539.6,99.225,64
1723120510,55241,83.9,1.285,4626,101.147,64
1723120511,56546,83.4,1.308,4708.8,134.904,64
1723120513,57860,83.2,1.354,4874.4,101.147,64
1723120514,59182,83.3,1.377,4957.2,102.122,64
1723120515,60494,84.9,1.401,5043.6,104.918,64
1723120516,61811,83.2,1.447,5209.2,134.946,64
1723120518,63111,83.4,1.471,5295.6,102.17,64
1723120519,64409,83.1,1.494,5378.4,103.082,64
1723120520,65712,84.7,1.540,5544,102.154,64
1723120522,67020,83.9,1.563,5626.8,131.846,64
1723120523,68322,83.3,1.587,5713.2,102.091,64
1723120524,69618,82.9,1.632,5875.2,100.186,64
1723120526,70941,83.0,1.656,5961.6,107.113,64
1723120527,72295,89.1,1.680,6048,5458.97,64
1723120528,73684,98.3,1.731,6231.6,203.348,64
1723120530,74981,84.5,1.754,6314.4,203.316,64
1723120531,76284,84.0,1.778,6400.8,135.812,64
1723120532,77589,83.3,1.825,6570,115.065,64
1723120534,78894,84.1,1.848,6652.8,101.162,64
1723120535,80246,83.2,1.871,6735.6,101.1,64
1723120536,81558,83.2,1.917,6901.2,105.08,64
1723120538,82856,83.1,1.940,6984,111.149,64
1723120539,84166,85.1,1.964,7070.4,100.202,64
1723120540,85492,83.8,1.987,7153.2,101.131,64
1723120541,86794,83.1,2.034,7322.4,101.147,64
1723120543,88097,83.2,2.056,7401.6,103.114,64
1723120544,89403,83.5,2.080,7488,105.13,64
