DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723117015,254,85.1,0.000,0,493.995,64
1723117016,1551,86.0,0.024,86.4,102.186,64
1723117017,2852,86.5,0.071,255.6,101.178,64
1723117019,4153,84.7,0.095,342,101.162,64
1723117020,5468,84.9,0.118,424.8,134.016,64
1723117021,6767,85.0,0.142,511.2,108.088,64
1723117023,8068,86.3,0.190,684,101.162,64
1723117024,9383,84.6,0.213,766.8,105.875,64
1723117025,10698,84.5,0.237,853.2,140.746,64
1723117026,12001,84.5,0.284,1022.4,114.056,64
1723117028,13298,85.1,0.307,1105.2,101.147,64
1723117029,14612,86.1,0.331,1191.6,103.098,64
1723117030,15926,84.6,0.378,1360.8,139.023,64
1723117032,17241,84.8,0.402,1447.2,121.933,64
1723117033,18547,84.3,0.425,1530,102.075,64
1723117034,19853,84.9,0.472,1699.2,102.17,64
1723117036,21154,84.7,0.496,1785.6,137.88,64
1723117037,22462,84.6,0.519,1868.4,127.008,64
1723117038,23763,84.3,0.543,1954.8,101.131,64
1723117040,25093,84.8,0.590,2124,101.131,64
1723117041,26395,86.1,0.613,2206.8,137.859,64
1723117042,27709,84.7,0.637,2293.2,139.777,64
1723117043,29012,84.0,0.684,2462.4,99.2096,64
1723117045,30312,84.2,0.707,2545.2,103.146,64
1723117046,31621,84.7,0.731,2631.6,137.88,64
1723117047,32922,84.3,0.778,2800.8,138.807,64
1723117049,34225,84.2,0.802,2887.2,101.116,64
1723117050,35522,84.1,0.825,2970,101.116,64
1723117051,36821,84.1,0.872,3139.2,139.864,64
1723117053,38130,86.2,0.896,3225.6,139.842,64
1723117054,39436,84.2,0.919,3308.4,104.122,64
1723117055,40743,84.1,0.942,3391.2,102.107,64
1723117057,42060,84.2,0.989,3560.4,138.872,64
1723117058,43366,85.6,1.013,3646.8,142.884,64
1723117059,44668,86.0,1.037,3733.2,102.091,64
1723117060,45967,83.9,1.084,3902.4,99.1789,64
1723117062,47274,84.1,1.107,3985.2,138.872,64
1723117063,48611,84.6,1.130,4068,146.019,64
1723117064,49930,85.9,1.178,4240.8,106.385,64
1723117066,51231,84.3,1.201,4323.6,102.344,64
1723117067,52550,84.2,1.225,4410,133.912,64
1723117068,53871,84.2,1.271,4575.6,139.82,64
1723117070,55173,84.5,1.295,4662,100.186,64
1723117071,56477,85.6,1.319,4748.4,103.13,64
1723117072,57793,83.9,1.342,4831.2,125.004,64
1723117074,59123,84.1,1.389,5000.4,134.883,64
1723117075,60428,83.9,1.412,5083.2,104.073,64
1723117076,61739,84.5,1.435,5166,101.084,64
1723117078,63078,83.7,1.482,5335.2,123.877,64
1723117079,64386,84.1,1.506,5421.6,139.734,64
1723117080,65696,84.2,1.529,5504.4,101.068,64
1723117081,67006,84.6,1.576,5673.6,102.091,64
1723117083,68308,85.8,1.600,5760,118.977,64
1723117084,69609,84.5,1.623,5842.8,134.925,64
1723117085,70925,84.0,1.670,6012,104.089,64
1723117087,72232,84.2,1.693,6094.8,103.082,64
1723117088,73536,84.8,1.717,6181.2,107.146,64
1723117089,74839,86.2,1.764,6350.4,134.862,64
1723117091,76142,84.0,1.788,6436.8,104.057,64
1723117092,77454,84.0,1.811,6519.6,103.082,64
1723117093,78751,84.0,1.834,6602.4,101.131,64
1723117095,80058,86.1,1.882,6775.2,142.773,64
1723117096,81357,84.4,1.905,6858,101.1,64
1723117097,82654,84.0,1.928,6940.8,100.155,64
1723117098,83969,83.8,1.975,7110,100.14,64
1723117100,85270,84.9,1.999,7196.4,135.959,64
1723117101,86589,86.1,2.022,7279.2,101.178,64
1723117102,87898,84.1,2.069,7448.4,98.2176,64
1723117104,89201,84.1,2.092,7531.2,100.155,64
1723117105,90504,84.3,2.116,7617.6,132.92,64
1723117106,91806,84.9,2.163,7786.8,103.098,64
1723117108,93110,84.0,2.186,7869.6,100.186,64
1723117109,94421,84.0,2.210,7956,100.17,64
1723117110,95738,84.2,2.233,8038.8,135.833,64
1723117112,97042,84.7,2.280,8208,99.225,64
1723117113,98344,85.8,2.304,8294.4,100.186,64
1723117114,99648,84.1,2.327,8377.2,100.155,64
1723117115,100957,84.1,2.374,8546.4,137.901,64
1723117117,102263,84.3,2.397,8629.2,111.028,64
1723117118,103617,84.5,2.421,8715.6,100.062,64
1723117119,104933,83.9,2.468,8884.8,98.1869,64
1723117121,106248,84.4,2.491,8967.6,136.867,64
1723117122,107550,84.4,2.515,9054,108.155,64
1723117123,108853,84.1,2.561,9219.6,100.17,64
1723117125,110153,85.7,2.585,9306,101.116,64
1723117126,111458,84.5,2.609,9392.4,144.823,64
1723117127,112773,84.3,2.632,9475.2,117.067,64
1723117129,114077,84.0,2.679,9644.4,100.186,64
1723117130,115386,84.6,2.703,9730.8,100.155,64
1723117131,116688,85.8,2.726,9813.6,140.768,64
1723117132,117986,84.2,2.773,9982.8,129.823,64
1723117134,119306,84.1,2.796,10065.6,101.178,64
1723117135,120617,84.0,2.820,10152,101.162,64
1723117136,121919,84.2,2.867,10321.2,137.944,64
1723117138,123230,84.4,2.890,10404,136.845,64
1723117139,124532,83.9,2.913,10486.8,100.202,64
1723117140,125839,83.9,2.960,10656,100.17,64
1723117142,127145,84.9,2.984,10742.4,138.85,64
1723117143,128455,86.1,3.007,10825.2,137.837,64
1723117144,129760,84.1,3.031,10911.6,101.917,64
1723117146,131072,83.9,3.077,11077.2,100.155,64
1723117147,132379,84.1,3.100,11160,139.82,64
1723117148,133678,84.9,3.124,11246.4,139.668,64
1723117149,134985,83.8,3.171,11415.6,101.1,64
1723117151,136293,84.0,3.195,11502,103.146,64
1723117152,137596,84.0,3.218,11584.8,137.859,64
1723117153,138923,84.5,3.265,11754,134.925,64
1723117155,140235,85.6,3.289,11840.4,101.116,64
1723117156,141544,83.9,3.312,11923.2,102.122,64
1723117157,142863,84.0,3.359,12092.4,137.795,64
1723117159,144170,84.2,3.382,12175.2,140.812,64
1723117160,145478,84.4,3.406,12261.6,101.147,64
1723117161,146782,85.8,3.429,12344.4,98.2176,64
1723117163,148087,83.8,3.476,12513.6,137.837,64
1723117164,149394,84.2,3.499,12596.4,138.742,64
1723117165,150696,84.1,3.523,12682.8,101.116,64
1723117166,152006,85.5,3.570,12852,100.14,64
1723117168,153307,83.9,3.593,12934.8,135.875,64
1723117169,154609,84.2,3.616,13017.6,135.896,64
1723117170,155921,83.6,3.663,13186.8,101.116,64
1723117172,157216,84.3,3.687,13273.2,100.155,64
1723117173,158512,85.5,3.710,13356,125.937,64
1723117174,159820,84.2,3.757,13525.2,138.872,64
1723117176,161119,83.8,3.780,13608,101.116,64
1723117177,162425,83.8,3.804,13694.4,103.146,64
1723117178,163731,84.5,3.827,13777.2,113.081,64
1723117180,165035,84.1,3.874,13946.4,136.909,64
1723117181,166331,84.0,3.897,14029.2,101.116,64
1723117182,167638,83.9,3.921,14115.6,100.155,64
1723117183,168942,84.2,3.967,14281.2,101.178,64
1723117185,170255,85.9,3.991,14367.6,135.812,64
1723117186,171562,84.1,4.015,14454,101.178,64
1723117187,172866,83.8,4.061,14619.6,105.048,64
1723117189,174166,83.8,4.085,14706,100.124,64
1723117190,175470,84.7,4.108,14788.8,137.816,64
1723117191,176773,85.8,4.132,14875.2,101.131,64
1723117193,178089,83.7,4.178,15040.8,101.162,64
1723117194,179388,83.6,4.201,15123.6,98.2022,64
1723117195,180699,83.9,4.225,15210,130.004,64
1723117196,182007,85.3,4.272,15379.2,101.131,64
