DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723112210,271,85.1,0.023,82.8,386.377,64
1723112212,1572,83.2,0.047,169.2,102.122,64
1723112213,2882,83.1,0.069,248.4,110.225,64
1723112214,4201,83.6,0.093,334.8,127.225,64
1723112216,5538,84.9,0.139,500.4,105.276,64
1723112217,6834,83.7,0.163,586.8,105.08,64
1723112218,8138,82.7,0.186,669.6,342.113,64
1723112220,9445,86.9,0.233,838.8,823.949,64
1723112221,10747,86.8,0.257,925.2,802.605,64
1723112222,12061,88.6,0.282,1015.2,800.122,64
1723112224,13434,86.6,0.330,1188,800.25,64
1723112225,14741,87.2,0.354,1274.4,827.405,64
1723112226,16058,86.7,0.379,1364.4,801.242,64
1723112227,17365,88.3,0.427,1537.2,799.258,64
1723112229,18671,87.3,0.451,1623.6,800.122,64
1723112230,19973,87.1,0.475,1710,842.157,64
1723112231,21316,86.8,0.524,1886.4,794.784,64
1723112233,22614,86.8,0.548,1972.8,800.371,64
1723112234,23917,88.5,0.573,2062.8,791.93,64
1723112235,25256,87.4,0.621,2235.6,841.766,64
1723112237,26561,86.7,0.645,2322,801.114,64
1723112238,27873,86.8,0.669,2408.4,799.507,64
1723112239,29185,86.8,0.693,2494.8,791.93,64
1723112241,30482,87.5,0.742,2671.2,832.755,64
1723112242,31782,87.0,0.766,2757.6,805.331,64
1723112243,33094,86.9,0.790,2844,802.726,64
1723112245,34398,86.7,0.838,3016.8,799.258,64
1723112246,35705,89.0,0.864,3110.4,840.563,64
1723112247,37041,87.5,0.888,3196.8,792.051,64
1723112248,38360,86.6,0.936,3369.6,800.25,64
1723112250,39680,86.9,0.960,3456,800.371,64
1723112251,41005,87.0,0.984,3542.4,835.859,64
1723112252,42327,87.2,1.033,3718.8,801.485,64
1723112254,43643,86.9,1.057,3805.2,801.363,64
1723112255,44950,86.9,1.081,3891.6,791.802,64
1723112256,46252,86.9,1.130,4068,840.512,64
1723112258,47552,88.7,1.154,4154.4,791.68,64
1723112259,48864,87.5,1.179,4244.4,792.307,64
1723112260,50165,86.9,1.203,4330.8,798.144,64
1723112262,51488,87.2,1.251,4503.6,843.75,64
1723112263,52829,87.0,1.275,4590,799.75,64
1723112264,54125,88.9,1.300,4680,800.493,64
1723112266,55432,86.8,1.348,4852.8,799.379,64
1723112267,56734,87.1,1.373,4942.8,828.691,64
1723112268,58038,87.2,1.397,5029.2,800,64
1723112269,59357,88.5,1.446,5205.6,799.507,64
1723112271,60666,87.6,1.470,5292,799.75,64
1723112272,61967,87.0,1.494,5378.4,840.435,64
1723112273,63278,87.3,1.542,5551.2,800.122,64
1723112275,64592,87.0,1.567,5641.2,800.621,64
1723112276,65907,88.8,1.591,5727.6,802.605,64
1723112277,67212,87.7,1.640,5904,834.739,64
1723112279,68527,86.9,1.664,5990.4,800.493,64
1723112280,69841,87.0,1.688,6076.8,800.742,64
1723112281,71144,87.0,1.712,6163.2,801.613,64
1723112283,72445,87.7,1.761,6339.6,829.075,64
1723112284,73748,87.0,1.785,6426,799.379,64
1723112285,75075,87.0,1.809,6512.4,799.75,64
1723112287,76387,86.7,1.858,6688.8,787.968,64
1723112288,77686,88.7,1.883,6778.8,829.171,64
1723112289,78989,88.0,1.907,6865.2,799.379,64
1723112290,80297,86.9,1.956,7041.6,804.09,64
1723112292,81685,87.0,1.979,7124.4,801.363,64
1723112293,83053,87.1,2.004,7214.4,830.509,64
1723112295,84398,87.4,2.052,7387.2,791.802,64
1723112296,85774,87.1,2.077,7477.2,799.629,64
1723112297,87093,87.1,2.101,7563.6,800.371,64
1723112299,88419,87.0,2.149,7736.4,829.683,64
1723112300,89729,89.1,2.174,7826.4,799.379,64
1723112301,91047,87.7,2.198,7912.8,801.114,64
1723112302,92350,86.8,2.246,8085.6,800.25,64
1723112304,93658,87.1,2.271,8175.6,836.333,64
1723112305,94962,87.4,2.295,8262,800.371,64
1723112306,96283,88.9,2.344,8438.4,802.106,64
1723112308,97604,87.1,2.368,8524.8,799.379,64
1723112309,98975,87.1,2.392,8611.2,829.133,64
1723112310,100276,87.4,2.441,8787.6,800.122,64
1723112312,101581,88.9,2.466,8877.6,799.629,64
1723112313,102880,87.7,2.490,8964,804.218,64
1723112314,104180,87.1,2.514,9050.4,821.709,64
1723112316,105519,87.2,2.562,9223.2,798.886,64
1723112317,106826,87.1,2.586,9309.6,801.114,64
1723112318,108136,88.9,2.611,9399.6,802.234,64
1723112320,109457,87.0,2.660,9576,826.765,64
1723112321,110768,87.5,2.684,9662.4,797.523,64
1723112322,112067,87.2,2.708,9748.8,800.122,64
1723112324,113378,88.8,2.757,9925.2,802.976,64
1723112325,114769,87.8,2.781,10011.6,798.886,64
