DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723111146,283,82.8,0.024,86.4,388.264,64
1723111148,1591,86.3,0.047,169.2,105.26,64
1723111149,2921,83.5,0.070,252,102.218,64
1723111150,4233,83.2,0.117,421.2,120.211,64
1723111152,5537,83.5,0.140,504,120.174,64
1723111153,6846,84.3,0.163,586.8,114.268,64
1723111154,8163,85.4,0.210,756,112.211,64
1723111156,9476,82.9,0.233,838.8,102.233,64
1723111157,10774,83.2,0.256,921.6,100.186,64
1723111158,12077,83.4,0.279,1004.4,108.088,64
1723111160,13382,84.8,0.326,1173.6,101.147,64
1723111161,14686,83.4,0.349,1256.4,100.202,64
1723111162,15990,83.0,0.372,1339.2,101.116,64
1723111163,17286,83.1,0.418,1504.8,120.006,64
1723111165,18603,83.2,0.441,1587.6,100.108,64
1723111166,19915,84.9,0.465,1674,103.194,64
1723111167,21226,83.4,0.511,1839.6,100.186,64
1723111169,22527,83.4,0.534,1922.4,128.872,64
1723111170,23836,83.1,0.557,2005.2,101.162,64
1723111171,25147,83.3,0.604,2174.4,102.154,64
1723111173,26445,83.4,0.627,2257.2,101.147,64
1723111174,27769,83.4,0.650,2340,140.724,64
1723111175,29072,83.0,0.674,2426.4,100.17,64
1723111177,30373,83.1,0.720,2592,105.113,64
1723111178,31672,84.9,0.743,2674.8,100.015,64
1723111179,32969,83.6,0.766,2757.6,132.031,64
1723111180,34269,82.8,0.812,2923.2,101.1,64
1723111182,35567,83.1,0.836,3009.6,101.162,64
1723111183,36882,83.3,0.859,3092.4,101.162,64
1723111184,38184,84.9,0.906,3261.6,138.786,64
1723111186,39480,83.0,0.928,3340.8,100.155,64
1723111187,40778,83.1,0.952,3427.2,105.097,64
1723111188,42071,83.1,0.975,3510,100.202,64
1723111190,43379,85.2,1.021,3675.6,135.917,64
1723111191,44680,83.4,1.045,3762,101.147,64
1723111192,45973,83.1,1.068,3844.8,101.147,64
1723111193,47275,82.8,1.114,4010.4,101.147,64
1723111195,48629,83.4,1.137,4093.2,140.768,64
1723111196,49934,85.0,1.161,4179.6,102.122,64
1723111198,51346,82.8,1.207,4345.2,103.146,64
1723111199,52651,83.0,1.230,4428,101.147,64
1723111200,53954,83.1,1.253,4510.8,136.93,64
1723111201,55254,84.8,1.300,4680,102.154,64
1723111203,56549,83.4,1.323,4762.8,101.147,64
1723111204,57854,83.0,1.346,4845.6,100.186,64
1723111205,59152,83.0,1.392,5011.2,138.807,64
1723111207,60450,83.2,1.415,5094,101.1,64
1723111208,61764,85.0,1.438,5176.8,101.21,64
1723111209,63062,83.3,1.462,5263.2,101.147,64
1723111211,64369,83.2,1.508,5428.8,138.936,64
1723111212,65664,83.1,1.531,5511.6,100.217,64
1723111213,66962,83.3,1.554,5594.4,101.147,64
1723111214,68266,83.0,1.601,5763.6,98.2323,64
1723111216,69568,83.1,1.624,5846.4,134.016,64
1723111217,70875,83.5,1.647,5929.2,104.138,64
1723111218,72175,83.0,1.693,6094.8,100.17,64
1723111220,73474,84.9,1.717,6181.2,101.147,64
1723111221,74777,83.2,1.740,6264,136.888,64
1723111222,76074,83.4,1.763,6346.8,101.162,64
1723111224,77381,82.9,1.809,6512.4,101.147,64
1723111225,78689,83.2,1.832,6595.2,100.155,64
1723111226,79997,84.9,1.856,6681.6,127.921,64
1723111228,81308,82.8,1.902,6847.2,105.097,64
1723111229,82603,83.0,1.925,6930,101.178,64
1723111230,83901,82.9,1.948,7012.8,99.2403,64
1723111231,85213,83.3,1.995,7182,121.914,64
1723111233,86508,83.5,2.018,7264.8,99.1942,64
1723111234,87813,83.0,2.041,7347.6,101.162,64
1723111235,89116,83.0,2.064,7430.4,98.2323,64
1723111237,90422,83.1,2.110,7596,107.13,64
1723111238,91731,85.3,2.134,7682.4,103.018,64
1723111239,93030,83.2,2.157,7765.2,101.147,64
1723111241,94325,82.9,2.203,7930.8,102.107,64
1723111242,95628,83.1,2.226,8013.6,100.17,64
1723111243,96931,83.5,2.249,8096.4,107.13,64
1723111244,98234,84.9,2.297,8269.2,101.178,64
1723111246,99535,83.1,2.319,8348.4,100.186,64
1723111247,100847,83.1,2.342,8431.2,101.162,64
1723111248,102151,83.3,2.388,8596.8,119.052,64
1723111250,103448,84.9,2.412,8683.2,100.155,64
1723111251,104745,83.3,2.435,8766,101.162,64
1723111252,106044,83.0,2.458,8848.8,100.186,64
1723111254,107344,83.2,2.504,9014.4,126.015,64
1723111255,108663,83.1,2.527,9097.2,101.147,64
1723111256,109977,84.8,2.551,9183.6,98.2323,64
1723111257,111281,82.9,2.597,9349.2,101.147,64
1723111259,112577,83.4,2.620,9432,143.809,64
1723111260,113877,83.0,2.643,9514.8,100.17,64
1723111261,115207,83.2,2.690,9684,101.116,64
1723111263,116511,83.3,2.713,9766.8,101.116,64
1723111264,117820,83.3,2.736,9849.6,135.98,64
1723111265,119121,83.0,2.782,10015.2,99.1789,64
